"","p1","p2","el","eloff","evf","eva","el2","el2off","evf2","eva2","gr","season","gcode"
"1","beaucfr80","beaucfr80",5684,9028,93,71,4511.5,7489.5,79,52,1,"20142015","30171"
"2","beaucfr80","belesma88",1407,13305,30,13,1190,10811,27,13,1,"20142015","30171"
"3","beaucfr80","coglian87",1369.5,13342.5,25,10,1159,10842,24,7,1,"20142015","30171"
"4","beaucfr80","desprsi91",194,14518,2,4,128.5,11872.5,1,2,1,"20142015","30171"
"5","beaucfr80","etemxem92",1120.5,13591.5,15,13,964,11037,14,13,1,"20142015","30171"
"6","beaucfr80","fleisto84",629,14083,15,7,510.5,11490.5,8,7,1,"20142015","30171"
"7","beaucfr80","fowleca91",151.5,14560.5,3,4,151.5,11849.5,3,4,1,"20142015","30171"
"8","beaucfr80","getzlry85",1759.5,12952.5,22,33,1310.5,10690.5,19,21,1,"20142015","30171"
"9","beaucfr80","jackmti81",692,14020,14,8,692,11309,14,8,1,"20142015","30171"
"10","beaucfr80","keslery84",2098,12614,37,28,1386,10615,27,16,1,"20142015","30171"
"11","beaucfr80","lindhha94",4966,9746,84,56,3952.5,8048.5,71,42,1,"20142015","30171"
"12","beaucfr80","maroopa88",1180.5,13531.5,14,18,1102.5,10898.5,14,16,1,"20142015","30171"
"13","beaucfr80","palmiky91",1664,13048,42,13,1328.5,10672.5,32,13,1,"20142015","30171"
"14","beaucfr80","perryco85",1397,13315,21,20,1235,10766,19,16,1,"20142015","30171"
"15","beaucfr80","rakelri93",1365,13347,24,11,1365,10636,24,11,1,"20142015","30171"
"16","beaucfr80","silfvja90",1507.5,13204.5,14,21,1161.5,10839.5,13,12,1,"20142015","30171"
"17","beaucfr80","stonecl85",159.5,14552.5,3,5,99,11902,3,2,1,"20142015","30171"
"18","beaucfr80","vatansa91",244,14468,1,4,211,11790,1,4,1,"20142015","30171"
"19","beaucfr80","wagnech91",99,14613,2,1,99,11902,2,1,1,"20142015","30171"
"20","belesma88","beaucfr80",1407,13305,30,13,1190,10811,27,13,1,"20142015","30171"
"21","belesma88","belesma88",3310,11402,53,46,3027.5,8973.5,49,44,1,"20142015","30171"
"22","belesma88","desprsi91",1111.5,13600.5,15,18,1080,10921,14,17,1,"20142015","30171"
"23","belesma88","fleisto84",108,14604,0,3,108,11893,0,3,1,"20142015","30171"
"24","belesma88","fowleca91",1097,13615,15,17,1055,10946,14,16,1,"20142015","30171"
"25","belesma88","getzlry85",585.5,14126.5,9,3,537,11464,8,2,1,"20142015","30171"
"26","belesma88","jackmti81",52,14660,0,3,52,11949,0,3,1,"20142015","30171"
"27","belesma88","keslery84",2408,12304,41,35,2174,9827,38,34,1,"20142015","30171"
"28","belesma88","lindhha94",1333,13379,28,14,1116,10885,25,14,1,"20142015","30171"
